Month	L	M	  S             SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
51	2	16.3981	  0.08974	12.6	13.7	15.0	16.4	18.0	19.7	21.6
52	2	16.4490	  0.09016	12.6	13.8	15.0	16.4	18.0	19.8	21.7
53	2	16.5001	  0.09057	12.7	13.8	15.1	16.5	18.1	19.8	21.8
54	2	16.5514	  0.09099	12.7	13.8	15.1	16.6	18.1	19.9	21.9
55	2	16.6026	  0.09140	12.7	13.9	15.2	16.6	18.2	20.0	22.0
56	2	16.6534	  0.09181	12.7	13.9	15.2	16.7	18.3	20.1	22.1
57	2	16.7039	  0.09221	12.7	13.9	15.2	16.7	18.3	20.1	22.2
58	2	16.7539	  0.09262	12.8	14.0	15.3	16.8	18.4	20.2	22.3
59	2	16.8034	  0.09301	12.8	14.0	15.3	16.8	18.5	20.3	22.4
60	2	16.8526	  0.09341	12.8	14.0	15.4	16.9	18.5	20.4	22.5
